[0000]:[t1] Konfiguracja dla jednostki Abrams: fireIntensity = 2.0, pierwszy strzał za: 9
STAN GRUPY: Jednostka: Abrams | Aktywne: 50/50 | Amunicja: 2500/2500 | Zasięg: 5 |[0000]:[t2] Konfiguracja dla jednostki Abrams: fireIntensity = 2.0, pierwszy strzał za: 9
STAN GRUPY: Jednostka: Abrams | Aktywne: 10/10 | Amunicja: 500/500 | Zasięg: 5 |[0001]:[t1] Kontynuowanie ruchu po pierwotnej trasie.
STAN GRUPY: Jednostka: Abrams | Aktywne: 50/50 | Amunicja: 2500/2500 | Zasięg: 5 |[0001]:[t1] Kontynuuje ruch po trasie. Następny krok: (35,00, 8,00)
STAN GRUPY: Jednostka: Abrams | Aktywne: 50/50 | Amunicja: 2500/2500 | Zasięg: 5 |[0001]:[t2] Kontynuowanie ruchu po pierwotnej trasie.
STAN GRUPY: Jednostka: Abrams | Aktywne: 10/10 | Amunicja: 500/500 | Zasięg: 5 |[0001]:[t2] Kontynuuje ruch po trasie. Następny krok: (40,00, 8,00)
STAN GRUPY: Jednostka: Abrams | Aktywne: 10/10 | Amunicja: 500/500 | Zasięg: 5 |[0002]:[t1] Zbliżanie się do celu, odległość: 5.0, minimalny zasięg: 5
STAN GRUPY: Jednostka: Abrams | Aktywne: 50/50 | Amunicja: 2500/2500 | Zasięg: 5 |[0002]:[t1] Oblicza trasę do celu. Cel: (40,00, 8,00)
STAN GRUPY: Jednostka: Abrams | Aktywne: 50/50 | Amunicja: 2500/2500 | Zasięg: 5 |[0002]:[t1] Porusza się w kierunku celu. Pozycja: (36,00, 8,00)
STAN GRUPY: Jednostka: Abrams | Aktywne: 50/50 | Amunicja: 2500/2500 | Zasięg: 5 |[0008]:[t1] Grupa t1 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 2500
STAN GRUPY: Jednostka: Abrams | Aktywne: 50/50 | Amunicja: 2500/2500 | Zasięg: 5 |[0008]:[t1] Z jednostki Abrams może strzelać maks 50 pod-jednostek. Wylosowano 2 do strzału, ale ograniczono do 2 (cel ma 10, ammo=2500).
STAN GRUPY: Jednostka: Abrams | Aktywne: 50/50 | Amunicja: 2500/2500 | Zasięg: 5 |[0008]:[t1] Seria strzałów zakończona: wystrzelono 2 pocisków. Zniszczono 0 jednostek [t2]. Amunicja spadła z 2500 do 2498.
STAN GRUPY: Jednostka: Abrams | Aktywne: 50/50 | Amunicja: 2498/2500 | Zasięg: 5 |[0008]:[t2] Grupa t2 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 500
STAN GRUPY: Jednostka: Abrams | Aktywne: 10/10 | Amunicja: 500/500 | Zasięg: 5 |[0008]:[t2] Z jednostki Abrams może strzelać maks 10 pod-jednostek. Wylosowano 9 do strzału, ale ograniczono do 9 (cel ma 50, ammo=500).
